scorer,,,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva
bodyparts,,,White,White,Brown,Brown,Orange,Orange,Green,Green,Red,Red
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,5Bugs2SegmentsTrial01,img029.png,517.3362625989455,849.8470258783369,567.1111996606296,858.2596912972132,502.78936197880546,873.8581750947127,553.615882217849,852.651247684629,487.19087818130583,872.9818557802464
labeled-data,5Bugs2SegmentsTrial01,img031.png,523.8210255259959,841.2590965965676,571.6680600958541,851.5996645072695,505.0677921964177,863.8681349097973,559.3995896933263,844.9396377173259,484.21139251212054,863.1670794582242
labeled-data,5Bugs2SegmentsTrial01,img051.png,645.1036186481275,801.4741997197988,639.3199111726502,832.1453757261181,576.400184393972,809.8868651386749,634.7630507374256,818.2995305575511,548.1827024681581,785.700452059406
labeled-data,5Bugs2SegmentsTrial01,img068.png,691.1980145890532,880.3429380217628,647.557312728633,879.1160909815101,660.1763108569473,837.4032916129157,672.2695173965818,876.6623969010045,640.8972859386894,794.4636452040686
labeled-data,5Bugs2SegmentsTrial01,img080.png,626.175121455656,927.6641810029414,611.1024292468362,899.2714352142343,700.1364715966091,889.4566588922121,633.0104121084929,908.3851560846836,662.8052688003461,850.8986090556963
labeled-data,5Bugs2SegmentsTrial01,img113.png,631.2577734795603,827.4132514280002,639.6704388984365,845.8159570317919,578.5033507486911,969.2017165086428,604.4424024568926,837.403291612916,562.0285476367252,951.8505940822106
labeled-data,5Bugs2SegmentsTrial01,img149.png,574.297018039253,970.7790912746821,565.5338248945903,957.8095654205813,597.6071118040558,834.2485420808374,577.9775591600113,901.1993377060603,636.6909532292514,845.4654293060056
labeled-data,5Bugs2SegmentsTrial01,img158.png,533.7440985966527,925.8966717777837,541.7383579910477,908.6117866007135,639.3979592414942,846.3861999632609,579.5490443158886,850.9234823222419,665.9734702012395,878.7953596702675
labeled-data,5Bugs2SegmentsTrial01,img237.png,539.7938084086272,877.9311154114141,550.1647395148693,862.8068408814777,678.2889508899019,882.6844588351084,670.7268136249338,851.3556044516687,637.8855317885004,929.3536488131979
labeled-data,5Bugs2SegmentsTrial01,img373.png,566.585380433086,933.2427479780386,562.2641591388185,903.6423821123059,676.9925845016218,844.0095282514138,644.3673637299019,831.9101086274646,663.1646763599656,923.5200000659365
labeled-data,5Bugs2SegmentsTrial01,img422.png,686.7153324137237,923.9521221953634,667.0537755248064,926.112732842497,575.0117619569078,840.9846733454265,573.9314566333409,872.9617109230063,662.9486152952522,826.2925209449169
labeled-data,5Bugs2SegmentsTrial01,img436.png,601.1551507872264,956.5773429670834,592.0805860692645,939.9406409841533,636.5891654002203,818.2982615505219,605.476372081494,826.2925209449169,675.4801570486281,892.4072067472102
labeled-data,5Bugs2SegmentsTrial01,img461.png,556.6465714562707,828.0210094626239,583.6542045454429,823.6997881683563,662.7325542305389,923.9521221953634,670.9428746896472,895.648122717911,575.0117619569078,918.5505955775288
labeled-data,5Bugs2SegmentsTrial01,img478.png,664.4610427482459,828.0210094626239,673.9677295956345,856.3250089400763,580.6293496394555,929.1375877484844,613.4706314758889,942.101251631287,574.579639827481,840.3364901512864
labeled-data,5Bugs2SegmentsTrial01,img528.png,568.313868950793,834.5028414040252,587.9754258397104,824.3479713624964,675.9122791780549,910.1242140537072,682.6101721841696,876.4186879584204,598.5624180106659,933.4588090427519
labeled-data,5Bugs2SegmentsTrial01,img589.png,560.7517316858249,877.931115411414,570.6905406626402,862.5907798167642,692.5489811609849,855.4607646812228,666.837714460093,831.6940475627513,663.1646763599656,923.5200000659365
labeled-data,5Bugs2SegmentsTrial01,img730.png,557.2947546504108,896.9444891061912,566.8014414977994,883.116580964535,678.5050119546154,838.391940568866,652.3616231242968,816.7858340975283,670.7268136249338,904.9387485005861
labeled-data,5Bugs2SegmentsTrial01,img812.png,561.6159759446783,840.5525512159998,584.5184488042963,828.0210094626239,688.6598819961441,883.116580964535,680.8816836664625,849.1949938045349,621.0327687408571,934.9712364957456
labeled-data,5Bugs2SegmentsTrial01,img916.png,719.556614250157,894.7838784590574,704.2162786555073,905.1548095652995,587.3272426455702,887.4378022588025,594.2411967163983,919.198778771669,632.484005170666,832.126169692178
labeled-data,5Bugs2SegmentsTrial02,img001.png,536.1510890958454,939.9844870021075,542.01089588001,993.5218126210661,506.8520551750222,940.2508418559332,524.6978303813418,967.9517466538023,528.6931531887268,979.4050053683059
labeled-data,5Bugs2SegmentsTrial02,img007.png,566.7818972857968,921.0732923804853,520.7025075739568,1010.0358135582574,487.141795991923,956.4984879392987,495.93150616816996,979.1386505144802,501.7913129523346,994.3208771825432
labeled-data,5Bugs2SegmentsTrial02,img020.png,552.6650900330367,897.3677103900011,468.7633110779521,1004.4423616279184,443.9923096721653,962.3582947234634,444.2586645259909,975.6760374147466,449.0530518948529,987.9283606907272
labeled-data,5Bugs2SegmentsTrial02,img025.png,519.9034430124798,890.1761293367082,438.13250288800066,994.8535868901947,428.0110184426254,950.1059714474831,423.21663107376344,963.9564238464176,426.4128893196714,977.2741665377009
labeled-data,5Bugs2SegmentsTrial02,img036.png,464.76798827056723,871.5312895689116,398.9783393756279,974.610617999444,397.1138553988483,910.4190982274587,391.2540486146837,926.4003894569986,387.79143551494997,947.1760680554004
labeled-data,5Bugs2SegmentsTrial02,img048.png,402.4409524753616,848.6247721399044,364.3522083782915,927.1994540184756,386.7260160996474,859.278966292931,374.74004767749244,865.9378376385727,364.61856323211714,893.1060327287905
labeled-data,5Bugs2SegmentsTrial02,img054.png,391.52040346850924,816.9285445346502,353.9643690790905,889.3770647752311,382.197983584611,835.8397391562725,363.02043410916315,839.5687071098317,359.82417586325516,864.3397085156187
labeled-data,5Bugs2SegmentsTrial02,img149.png,132.357128664011,798.8164144745052,157.92719463127483,702.9286670972658,153.66551697006417,681.3539239373869,153.13280726241285,803.0780921357158,136.8851611790473,713.0501515426411
labeled-data,5Bugs2SegmentsTrial02,img176.png,227.44581249583655,845.9612236016505,144.34309810222905,813.1995765810927,138.48329131806443,733.8258301410445,235.17010325678083,826.7836741262028,185.89445529903278,725.0361199647981
labeled-data,5Bugs2SegmentsTrial02,img241.png,482.6137634768868,811.8678023119627,477.2866664003735,833.4425454718415,371.27743457775875,864.6060633694444,477.8193761080248,792.6902528365148,463.4362140014389,772.71363879959
labeled-data,5Bugs2SegmentsTrial02,img264.png,490.66344236672023,939.2624434477714,475.32310677207045,929.9718176650962,451.98851178302573,905.9890394819114,542.3020368332174,888.4880932401278,545.1108306744914,852.4058954329938
labeled-data,5Bugs2SegmentsTrial02,img283.png,413.5296422640446,927.595145953249,426.4933061468472,884.598994075287,495.41678579041456,974.6964580607653,513.7819762910516,974.4803969960519,539.9253651213703,952.0100462658606
labeled-data,5Bugs2SegmentsTrial02,img299.png,471.00188547780294,867.0980478335034,505.78771689665666,875.9565514867519,429.5181610528345,983.9870838434405,441.4015196120703,999.1113583733769,479.4282670016246,998.2471141145234
labeled-data,5Bugs2SegmentsTrial02,img356.png,382.2007878806049,889.3523374989813,401.64628370480887,862.1286433450957,519.3995639735995,907.0693448054782,525.449273785574,891.2968870814017,502.54680092595595,861.2643990862423
labeled-data,5Bugs2SegmentsTrial02,img398.png,559.5869220102875,928.2433291473892,541.4377925743638,947.040641777453,424.3326954997134,890.6487038872616,412.2332758757643,902.7481235112107,428.86997785869437,936.8857717359243
