Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red
0,951.1764526,1050.131714,,520.0598145,1047.194946,,530.1610107,957.7533569,,524.624939,955.7297363,,538.4833984,956.3602905,
1,796.7610474,866.8414917,2.665230954,519.5736694,1046.484375,0.8609579182,531.2280884,956.9483643,1.336662968,523.8105469,956.8914185,1.418710628,540.2973022,956.1496582,1.826092277
2,799.3705444,867.0910034,2.621398683,519.9916382,1046.492188,0.4180417576,531.2636108,960.9440918,3.995885435,522.9572754,957.875061,1.302161644,530.1278687,1046.161743,0.9058472729
3,962.5501709,1056.704468,2.161660448,519.262146,1047.421997,1.181822613,530.2160034,961.9370117,1.443388819,523.2595825,957.5775757,0.4241310347,530.2501831,1047.028442,0.8752875877
4,804.2965088,870.8222046,2.123815588,519.546936,1050.62439,3.215030885,528.2139893,963.0487061,2.289961789,523.4970093,953.6185303,3.966158346,527.6715088,1046.46582,2.639337952
5,806.6331787,873.0545654,3.231634454,511.9321594,1014.050598,3.580921329,529.5072021,965.8638306,3.097955067,517.2540894,956.8391724,7.024712423,544.2911987,953.3980713,2.540044436
6,808.8630371,873.4744873,2.269053296,502.7143555,926.2123413,2.905937125,529.1276245,970.4472046,4.599064755,514.6673584,961.9312134,5.711397268,544.9771118,948.5068359,4.939095061
7,544.8036499,1021.833862,2.882591316,505.7052002,911.4733887,5.039344301,527.5245361,977.7740479,7.5001683,511.2888489,964.8266602,4.449487457,547.7313843,944.8433838,4.583328314
8,544.8041992,1027.226318,5.392456083,499.4604492,912.2557373,6.293566886,527.6657715,981.7542725,3.982729638,508.8046875,966.2994385,2.887928969,549.8010254,938.5982056,6.579184248
9,547.7953491,1030.670776,4.561936947,499.157074,906.4119263,5.851680438,528.8242188,986.1349487,4.531260823,504.4402771,970.7617188,6.241796487,551.8442383,932.7313843,6.212431968
10,549.5241089,1033.609253,3.409289491,499.5886536,903.7182617,2.728019365,528.987915,991.9676514,5.834999274,500.8018188,971.1248779,3.656537029,552.9227295,926.9046021,5.925751801
11,551.2175903,1033.683716,1.695117733,501.0381165,901.4421387,2.698458596,529.2294312,995.6691895,3.709408879,498.3226624,972.9796753,3.096205772,553.6248169,921.4112549,5.538031223
12,552.8272095,1032.189819,2.196042004,503.4553833,898.7432251,3.623163464,529.5637817,999.0785522,3.425718168,496.6870422,974.0799561,1.971261252,555.034729,919.4847412,2.387322158
13,554.9314575,1027.501099,5.139256919,505.6454773,899.3598633,2.275248196,530.6878662,1003.45282,4.516390456,495.2373352,973.0236206,1.793737734,553.8903809,915.567749,4.080730385
14,556.5012817,1023.862793,3.96252649,511.4803772,899.8834229,5.858342043,530.5290527,1008.945557,5.495032252,493.5493164,972.7781372,1.705775356,553.5792236,911.2512207,4.327728684
15,558.149231,1018.700684,5.418773831,513.5029297,899.5218506,2.054617502,529.3598022,1011.041016,2.399603105,492.2478333,973.6677246,1.576459371,553.6693726,907.4638672,3.788426254
16,560.9085083,1014.874084,4.717676578,513.7172241,898.8529053,0.7024314453,528.87323,1015.254578,4.241563084,488.3985901,974.4438477,3.926708535,552.6117554,904.7816772,2.883174812
17,562.8999023,1011.868896,3.605108192,514.6832275,897.7421875,1.472024652,526.9057007,1017.271301,2.817507009,487.7156067,974.3227539,0.6936353645,550.8891602,899.2113647,5.830584501
18,566.4359131,1006.421265,6.494618125,516.6485596,897.1228027,2.060623081,525.5141602,1019.054993,2.26228647,484.3910522,976.2967529,3.866436912,548.7362061,894.5116577,5.169376901
19,570.3377686,999.7608032,7.719211262,519.2200928,894.5112305,3.665118376,525.7896729,1020.080811,1.062172091,484.6287231,977.0880737,0.826242135,547.9088135,892.1365356,2.515110997
20,571.8413696,994.1482544,5.810466465,519.9807739,894.467041,0.7619635971,525.9697266,1020.208313,0.2206268601,482.8497925,977.9937134,1.996190742,548.4573364,890.0319824,2.174861304
21,571.8956299,990.6733398,3.475338158,519.6166992,893.1450806,1.37117826,525.7523193,1020.119507,0.2348455553,483.379425,978.4580078,0.7043294531,549.0806885,890.1031494,0.6274014026
