Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red,Va
0,930.3671875,690.4813232,,528.7909546,981.2738647,,510.6677246,950.5249023,,515.923645,964.600769,,513.4263916,957.4812622,,0.0
1,928.0616455,689.7313232,2.424463627,528.9121094,982.1931763,0.927260567,511.5688171,950.2902222,0.931151186,516.230896,964.7234497,0.3308378877,514.206604,957.062561,0.8854614978,0.05499174765499999
2,925.8088379,691.3161011,2.754389758,528.3352051,983.6680908,1.583727091,511.125946,950.4066772,0.4579264034,515.5007324,965.0853882,0.8149468117,512.8793335,956.913147,1.335653983,0.06946644047100002
3,924.5657959,692.5895996,1.779593188,526.6785889,985.1469727,2.220691053,509.5357971,949.6936035,1.742712756,510.5239868,955.2562866,1.017224439,517.3338623,971.8661499,5.602407619,0.12362629054999999
4,923.6619873,694.0335083,1.703450112,521.4527588,981.3221436,6.476003217,509.6429749,950.8903198,1.201506134,508.6630554,954.6200562,1.966686267,513.1557007,957.4185181,5.039650933,0.16387296663
5,923.2797241,695.1313477,1.162487158,520.7731934,982.5409546,1.395460323,507.7433472,950.8094482,1.901348352,506.909729,954.6075439,1.753371061,513.100769,964.1751709,6.756876126,0.1296954302
6,551.4782104,920.5481567,1.797772977,519.9676514,982.9901733,0.9223314949,506.6809387,946.7208862,4.224340307,509.6677856,968.9050903,1.561136944,512.6117554,964.3353271,0.514572051,0.09020153773900001
7,925.6931152,698.2400513,1.267376127,519.9592896,983.4282837,0.4381901415,505.177124,950.8911133,4.433086092,505.5122375,950.2797852,1.083253729,511.5499573,971.2006836,6.94698023,0.14168886319500001
8,927.4419556,700.0057373,2.485173974,519.776062,983.7704468,0.3881338795,505.410553,951.3969727,0.5571200807,505.921875,963.0391846,1.765973376,551.2876587,921.3796997,3.727665494,0.089240668042
9,928.97052,700.9967041,1.821681772,517.8735352,983.8106079,1.902950696,506.0899353,950.652771,1.007668821,506.9875488,968.3887329,5.45466114,508.4281921,970.9144287,5.50284918,0.15689811609
10,927.8856201,701.397522,1.156573717,516.5528564,984.2589722,1.394712431,504.9694214,945.9453735,4.838919538,500.9205933,954.7363281,1.939749203,551.8633423,919.1730347,7.555785287,0.16885740176
11,930.8881836,701.6604614,3.01405451,515.5870361,983.8214111,1.0603153,505.4624023,952.4117432,6.485134262,502.2263794,962.8439941,8.212145009,551.8075562,917.7652588,1.408880768,0.20180529849
12,934.0559692,702.0651245,3.193527533,503.6435852,972.8817139,6.196388373,556.5941772,918.7077026,6.240678903,499.9940186,963.0621338,2.242993497,555.4057007,914.7866211,4.671073387,0.22544661692999998
13,937.7675781,702.2334595,3.715424227,551.7915649,920.638855,1.046071372,555.5638428,925.463501,6.833915447,540.2182617,922.0390625,5.453303788,505.0865479,975.6639404,8.981422824,0.26030137657999997
14,516.4440308,923.3582764,5.825300094,554.6621094,917.4003296,4.327594257,556.043396,912.6602783,12.8122005,541.4138184,922.4778442,1.273532526,499.8592224,969.6903687,7.9377888,0.32176416177
15,518.5739136,922.0170898,2.516978761,554.0679932,917.4585571,0.5969627446,563.9515381,923.5126343,13.42804309,541.6878052,923.5380249,1.095012245,511.4024658,983.776123,8.211396027,0.258483928676
16,519.968689,918.677124,3.619498594,554.8037109,916.0107422,1.624022397,570.1969604,926.4464722,6.900196031,540.6548462,922.6473999,1.36389778,499.5358582,940.8514404,4.534758956,0.18042373758
17,520.5981445,914.7542725,3.973031423,554.6139526,908.5879517,7.425215648,576.2305298,927.8353271,6.191355028,538.4696655,914.9021606,8.04759254,503.8340454,935.071228,7.203143002,0.32840337641
18,524.7919312,910.4888306,5.981792439,551.1964111,901.6027832,7.776385298,513.6689453,929.7567139,2.591082261,538.8094482,910.3640747,4.550788533,498.7138367,930.3908691,6.937023631,0.27837072162000004
19,524.4851074,906.0518799,4.447546759,552.7314453,897.1586304,4.701789481,513.8342285,923.9442749,5.814788496,538.9899902,903.0576782,7.308626752,495.7600708,923.6580811,7.352221992,0.2962497348
20,524.0908203,900.0870361,5.977861096,553.59021,891.1072388,6.112022336,513.1338501,919.9784546,4.027190172,537.8204346,898.2270508,4.970193349,494.5332031,917.50354,6.275633785,0.27362900738
21,520.2067261,897.6139526,4.604598791,553.8665161,888.9799805,2.145127728,512.5165405,913.6620483,6.346499746,539.550293,892.4411621,6.038950058,492.6264648,912.6705322,5.195538027,0.24330714350000002
22,515.352417,889.7834473,9.213095627,557.718689,885.9632568,4.892837332,509.6481323,911.6933594,3.479008747,540.2432251,885.3424683,7.132433615,493.2196045,908.6496582,4.064387107,0.28781762428
23,513.8069458,879.9832153,9.921342004,558.3126221,882.5958252,3.419408193,509.3244019,905.5322876,6.169571044,542.7440186,880.187561,5.729488322,492.3009644,905.72229,3.068123868,0.28307933431000004
24,511.2381592,876.1119385,4.646014335,558.1602783,878.8087769,3.790111311,509.7342834,901.6837158,3.87033689,545.2974854,877.0824585,4.020180899,492.140625,900.4802856,5.244456004,0.21571099439000002
25,510.9009094,870.0180054,6.10325799,559.3109741,877.9882202,1.413298987,505.9322205,897.3572998,5.759649165,548.4560547,870.3268433,7.457539637,491.8398438,896.3312988,4.159875114,0.24893620892999999
26,510.2371216,864.6542969,5.404626086,558.2810669,874.2932739,3.835796785,505.8570557,891.1276245,6.230128731,549.321167,865.4552612,4.947800601,492.0175476,889.2005005,7.133012241,0.27551364444000004
27,510.1358337,858.4282837,6.226837029,560.6199341,868.1511841,6.57233348,505.6192932,885.9916382,5.141486803,551.0949707,861.4066162,4.42017037,491.6194458,884.6323242,4.585490102,0.26946317784
28,511.8365479,852.6833496,5.991385157,562.3853149,862.9217529,5.519376754,502.6933594,877.8098755,8.689207652,552.8948975,857.3868408,4.404353588,488.4483948,880.0124512,5.603462463,0.30207785614
29,514.3588867,849.5385742,4.031352827,564.0535278,857.7932739,5.392979802,504.6329041,871.8602905,6.25774678,553.5171509,851.6220703,5.79825649,486.8000488,873.9127808,6.318466861,0.2779880276
30,519.3135986,844.7249756,6.907959319,566.2438965,853.9484863,4.424941413,505.4472961,867.5598755,4.376848636,554.4129639,848.0383911,3.693946063,484.4238892,868.9123535,5.536281009,0.2493997644
31,521.78302,840.9310303,4.526815991,568.3336792,851.0637207,3.562171319,505.5789795,864.0176392,3.544683161,557.8631592,843.1252441,6.003570677,483.038208,864.1954346,4.916242121,0.22553483269000002
32,525.7407227,835.0281982,7.106816175,570.4368896,849.649231,2.534615441,504.9538879,857.5727539,6.475128214,563.8284302,838.6708984,7.444840744,483.9440002,858.3598633,5.905451028,0.29466851602
33,531.123291,830.4873657,7.042102109,571.5617065,847.3890991,2.524561142,504.5280762,854.2493286,3.350592685,565.6924438,834.6044312,4.473332444,484.2458801,853.300415,5.068446308,0.22459034688000004
34,536.4553833,825.2722778,7.458441516,573.9025269,843.5836792,4.467735502,506.4458923,850.2470703,4.438027753,566.8884888,831.5700684,3.261576462,484.6586914,849.1118164,4.208891975,0.23834673208
35,542.8018188,819.4248657,8.629569661,575.1616821,842.057251,1.978750899,507.6468506,842.8457642,7.49810866,567.9979248,831.2942505,1.143207686,487.1838074,843.4829712,6.169287568,0.25418924474
36,548.9613647,813.7362061,8.384560483,577.5131836,840.5455322,2.795505807,509.8251343,839.5703735,3.933586606,569.4673462,828.1403198,3.479436426,489.7984924,838.114502,5.971351599,0.24564440921
37,554.6925659,809.4854126,7.135538654,579.7056274,838.7052002,2.862452097,512.1727295,834.9353638,5.195624969,574.7362671,824.0355225,6.67913833,491.4354248,833.4282227,4.963946136,0.26836700186
38,561.2927246,804.0690918,8.538069206,584.336731,834.3703613,6.343338851,514.9788818,831.5297852,4.412760663,578.5112915,821.0838623,4.791983619,492.6853943,827.369812,6.186013518,0.30272165857
