scorer,,,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva
bodyparts,,,White,White,Pink,Pink,Yellow,Yellow,Orange,Orange,Green,Green,Blue,Blue,Red,Red
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,7Bugs2SegmentsTrial02,img001.png,480.15317402843704,1007.5919661605108,555.0699390022335,989.5110156678048,497.9339196990327,1033.6775091169047,510.20239010156047,1001.2536944816528,521.9450689154085,995.2947231432822,499.51129446507196,1005.1094994653045,534.3888031808294,992.1399736112037
labeled-data,7Bugs2SegmentsTrial02,img008.png,474.27329820844346,967.6030328061481,549.1109676638628,955.8603539923001,481.10858886128034,996.1710424577485,508.0992237468414,972.5104209671592,519.4913748349029,965.3246025885359,494.77917016695415,978.1188645797433,531.2340536487509,960.9430060162044
labeled-data,7Bugs2SegmentsTrial02,img018.png,485.750075079625,908.3352519821361,556.2664447428194,914.7329064878696,476.36684847121603,939.1861637097837,510.77201270204887,936.6271019074904,516.3166466070178,917.2919682901629,495.5598119884162,940.1813544106756,527.2637443168283,907.6244014814991
labeled-data,7Bugs2SegmentsTrial02,img027.png,507.7396215158109,854.970887888002,550.647269980093,872.3768207555881,478.1900145545601,894.6402232606401,511.78751288036585,905.164740808483,515.4306151084652,878.4486578024205,496.81031483151264,908.4030539001269,532.0269697031404,865.9001945723003
labeled-data,7Bugs2SegmentsTrial02,img036.png,548.6233242978155,813.6823959695419,573.720250758056,833.517063655861,490.7384777846803,843.2320029307928,508.5491997887219,867.9241402545778,521.907241291753,846.4703160224367,495.5959474221462,869.1385076639442,553.0760047988259,838.7793224297824
labeled-data,7Bugs2SegmentsTrial02,img040.png,569.2227127287421,798.8528712248847,589.9645749412263,816.3538174666683,500.2992330851747,829.1014202847575,510.8862252561302,849.8432824972417,527.0908051096335,828.8853592200442,496.8422560497607,852.868137403229,563.1730029167674,829.7496034788977
labeled-data,7Bugs2SegmentsTrial02,img051.png,622.1576735835195,782.2161692419548,635.7695206604621,796.2601384483244,541.7829575101431,791.0746728952033,530.9799042744742,816.3538174666685,565.9817967580414,789.3461843774962,503.1080269264486,808.3595580722734,606.6012769241562,804.4704589074327
labeled-data,7Bugs2SegmentsTrial02,img060.png,649.0091424192531,753.1647124190462,664.3494780139029,765.9123152371354,574.4680750931379,757.9180558427405,561.5044112103353,797.8893528147153,590.8887160113546,757.4859337133137,529.5273736327555,772.3941471785367,642.095188348425,784.9256889319126
labeled-data,7Bugs2SegmentsTrial02,img131.png,684.8236883640343,611.3236556205048,700.8889096784314,619.1430111275123,770.2679532501037,668.7603760719778,755.9087731372355,697.4787362977142,767.2823811474282,684.2569169858654,659.8017854511074,601.5139534212108,632.9316365270273,617.0104943350983
labeled-data,7Bugs2SegmentsTrial02,img156.png,818.4673230037462,669.6525744689553,832.2952311454023,686.7213985813122,840.5055516045106,708.7596271820767,820.8439947155932,731.878161106408,834.0237196631093,722.8035963884462,764.2359957606884,646.534040544624,734.6356298949557,632.9221934676813
labeled-data,7Bugs2SegmentsTrial02,img219.png,951.2483840627194,964.385348801455,931.8044797334459,967.8479619011887,919.8185113112909,963.3199293861524,893.9820904902014,954.2638643560798,908.6316074506129,957.7264774558134,970.9586432458186,851.9836004870244,960.0380942389663,829.3434379118429
labeled-data,7Bugs2SegmentsTrial02,img238.png,921.7472429920695,1041.226513176783,908.1631454469605,1036.1657709540955,897.7753061477596,1028.1751253393254,875.9342081340551,1008.1985113024007,886.5884022870816,1015.3900923556936,1003.2518282627229,947.7359594839746,1001.9200539935946,930.9556036929578
